group,rel,size,category,summary,has_ip,ips_join,outdated_ips_join,outdated_count,secret_flag,keywords_join
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/662995432718341c@v40,7269,other,Other file,False,,,0,0,"hydra-mcp,litellm,letta,qdrant,prometheus,grafana,alertmanager,n8n,redis,postgres,open-webui,firecrawl,searxng,perplexica,sillytavern,kokoro"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/662995432718341c@v5,13803,other,Other file,True,"192.168.1.0,192.168.1.1,192.168.1.203,192.168.1.244,192.168.1.250",,0,1,"hydra-mcp,litellm,letta,qdrant,prometheus,grafana,alertmanager,tabbyapi,ollama,comfyui,n8n,redis,postgres,firecrawl,searxng,kokoro"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/662995432718341c@v6,8155,other,Other file,True,"192.168.1.0,192.168.1.1,192.168.1.203,192.168.1.244,192.168.1.250",,0,0,"litellm,letta,qdrant,prometheus,grafana,alertmanager,dcgm,tabbyapi,ollama,comfyui,n8n,redis,postgres,firecrawl,searxng,sillytavern,kokoro"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/662995432718341c@v7,10237,other,Other file,True,"192.168.1.0,192.168.1.1,192.168.1.203,192.168.1.244,192.168.1.250",,0,1,"hydra-mcp,litellm,letta,qdrant,prometheus,grafana,alertmanager,dcgm,tabbyapi,ollama,comfyui,n8n,redis,postgres,firecrawl,searxng,sillytavern,kokoro"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/662995432718341c@v8,10558,other,Other file,True,"192.168.1.0,192.168.1.1,192.168.1.203,192.168.1.244,192.168.1.250",,0,1,"hydra-mcp,litellm,letta,qdrant,prometheus,grafana,alertmanager,dcgm,tabbyapi,ollama,comfyui,n8n,redis,postgres,firecrawl,searxng,sillytavern,kokoro"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/662995432718341c@v9,10734,other,Other file,True,"192.168.1.0,192.168.1.1,192.168.1.203,192.168.1.244,192.168.1.250",,0,1,"hydra-mcp,litellm,letta,qdrant,prometheus,grafana,alertmanager,dcgm,tabbyapi,ollama,comfyui,n8n,redis,postgres,firecrawl,searxng,sillytavern,kokoro"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/69a0744987fb2626@v1,9314,other,Other file,False,,,0,0,"litellm,prometheus"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/6a5ac9fcbb1bcbd3@v1,7383,other,Other file,True,192.168.1.244,,0,0,"hydra-mcp,litellm,letta,prometheus,grafana,tabbyapi,n8n"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/6a5ac9fcbb1bcbd3@v2,7521,other,Other file,True,192.168.1.244,,0,0,"hydra-mcp,litellm,letta,prometheus,grafana,tabbyapi,n8n"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/6bbea3d9336ac884@v1,10950,other,Other file,False,,,0,0,"hydra-mcp,litellm,letta,qdrant,prometheus,grafana,alertmanager,ollama,comfyui,n8n,open-webui"
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/6de678c4a1f202da@v1,6432,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/6de678c4a1f202da@v2,6785,other,Other file,False,,,0,0,
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/6de678c4a1f202da@v3,8364,other,Other file,False,,,0,0,letta
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/6de678c4a1f202da@v4,8614,other,Other file,False,,,0,0,letta
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/6de678c4a1f202da@v5,8939,other,Other file,False,,,0,0,letta
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/6de678c4a1f202da@v6,9565,other,Other file,False,,,0,0,letta
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/6de678c4a1f202da@v7,12524,other,Other file,False,,,0,0,letta
dotclaude,dotclaude/.claude/file-history/a2c5b644-74c0-4077-a570-2b56add66180/6de678c4a1f202da@v8,15044,other,Other file,True,"192.168.1.244,192.168.1.250,192.168.1.251",192.168.1.251,1,0,letta
